soc,function,vendor_size,candidate_size,delta,direct_calls_exact,vendor_calls,candidate_direct_calls
an7583,DramcCKEDebounce,72,88,16,True,vSetRank;vIO32WriteMsk_All;vSetRank,vSetRank;vIO32WriteMsk_All;vSetRank
an7583,DramcEnablePerBankRefresh,2,2,0,True,,
an7583,DramcHWGatingDebugOnOff,112,108,-4,False,vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All,vPhyByteIO32WriteMsk_All
an7583,DramcHWGatingOnOff,60,72,12,False,vIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All,
an7583,DramcInit,4,4,0,True,,
an7583,DramcInit_DutyCalibration,66,76,10,False,vGetPHY2ChannelMapping;GetDramcBroadcast;DramcBroadcastOnOff;vSetPHY2ChannelMapping;vSetPHY2ChannelMapping;DramcNewDutyCalibration;DramcBroadcastOnOff,vGetPHY2ChannelMapping;GetDramcBroadcast;DramcBroadcastOnOff;vSetPHY2ChannelMapping;DramcNewDutyCalibration;vSetPHY2ChannelMapping;DramcBroadcastOnOff
an7583,DramcModifiedRefreshMode,36,40,4,True,vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All,vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All
an7583,DramcRefreshRateDeBounceEnable,20,20,0,True,vPhyByteIO32WriteMsk_All,vPhyByteIO32WriteMsk_All
an7583,DramcRunTimeConfig,84,88,4,True,DramcHWGatingDebugOnOff;vIO32WriteMsk_All;DramcShuTrackingDcmEnBySRAM;DramcRefreshRateDeBounceEnable;vAutoRefreshSwitch;vPhyByteIO32WriteMsk_All;vIO32WriteMsk,DramcHWGatingDebugOnOff;vIO32WriteMsk_All;DramcShuTrackingDcmEnBySRAM;DramcRefreshRateDeBounceEnable;vAutoRefreshSwitch;vPhyByteIO32WriteMsk_All;vIO32WriteMsk
an7583,DramcShuTrackingDcmEnBySRAM,26,28,2,True,EnableRxDcmDPhy;Enable_ClkTxRxLatchEn;EnableDramcPhyDCMShuffle,EnableRxDcmDPhy;Enable_ClkTxRxLatchEn;EnableDramcPhyDCMShuffle
an7583,EnableDramcPhyDCM,44,54,10,True,GetDramcBroadcast;DramcBroadcastOnOff;EnableDramcPhyDCMNonShuffle;EnableDramcPhyDCMShuffle;DramcBroadcastOnOff,GetDramcBroadcast;DramcBroadcastOnOff;EnableDramcPhyDCMNonShuffle;EnableDramcPhyDCMShuffle;DramcBroadcastOnOff
an7583,EnableRxDcmDPhy,24,24,0,True,vPhyByteIO32WriteMsk_All,vPhyByteIO32WriteMsk_All
